[2024-12-08 02:31:17] INFO - super_gradients.common.crash_handler.crash_tips_setup - Crash tips is enabled. You can set your environment variable to CRASH_HANDLER=FALSE to disable it
[2024-12-08 02:31:19] DEBUG - matplotlib - matplotlib data path: /home/gaurav/Documents/Semester 5/DL/DL Project/Custom Mode/.venv/lib/python3.10/site-packages/matplotlib/mpl-data
[2024-12-08 02:31:19] DEBUG - matplotlib - CONFIGDIR=/home/gaurav/.config/matplotlib
[2024-12-08 02:31:19] DEBUG - matplotlib - interactive is False
[2024-12-08 02:31:19] DEBUG - matplotlib - platform is linux
[2024-12-08 02:31:19] DEBUG - matplotlib - CACHEDIR=/home/gaurav/.cache/matplotlib
[2024-12-08 02:31:19] DEBUG - matplotlib.font_manager - Using fontManager instance from /home/gaurav/.cache/matplotlib/fontlist-v390.json
[2024-12-08 02:31:19] DEBUG - super_gradients.common.sg_loggers.clearml_sg_logger - Failed to import clearml
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 14385
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 26310
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 25287
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12729
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 15460
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 17675
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12960
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18707
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 20283
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 9831
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 23427
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 21770
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 11763
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:21] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 14059
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:31:22] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 23436
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 20306
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 13375
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 22415
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 24152
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 20411
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 26350
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18711
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 14561
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 19463
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18252
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18983
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 11170
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18014
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 25843
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12428
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 22406
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:47] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 16859
[2024-12-08 02:33:48] WARNING - super_gradients.training.utils.checkpoint_utils - :warning: The pre-trained models provided by SuperGradients may have their own licenses or terms and conditions derived from the dataset used for pre-training.
 It is your responsibility to determine whether you have permission to use the models for your use case.
 The model you have requested was pre-trained on the cityscapes dataset, published under the following terms: https://www.cs.toronto.edu/~kriz/cifar.html
[2024-12-08 02:33:48] INFO - super_gradients.training.utils.checkpoint_utils - Successfully loaded pretrained weights for architecture pp_lite_t_seg75
[2024-12-08 02:33:48] DEBUG - super_gradients.training.utils.checkpoint_utils - Trying to load preprocessing params from checkpoint. Preprocessing params in checkpoint: False. Model PPLiteSegT inherit HasPredict: True
[2024-12-08 02:33:48] WARNING - super_gradients.training.sg_trainer.sg_trainer - Train dataset size % batch_size != 0 and drop_last=False, this might result in smaller last batch.
[2024-12-08 02:33:48] INFO - super_gradients.training.sg_trainer.sg_trainer - Starting a new run with `run_id=RUN_20241208_023348_481372`
[2024-12-08 02:33:48] INFO - super_gradients.training.sg_trainer.sg_trainer - Checkpoints directory: ./notebook_ckpts/transfer_learning_semantic_segementation_ppLite/RUN_20241208_023348_481372
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 24783
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 14371
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 21412
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18898
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8330
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 16910
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 26995
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 22008
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 14605
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:48] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12116
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 23819
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8462
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 11367
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 15595
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12124
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 10861
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 12553
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 18395
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 11897
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 65536
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:33:49] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 13974
[2024-12-08 02:34:57] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:57] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 20306
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 25468
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 19211
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 41 8192
[2024-12-08 02:34:58] DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13
